,price,address,mls,sqft,Community,beds,baths,Building Type,Air Conditioning,Heating Type,lat,long,Frontage,Land Depth,no amenity,gym,pool,party room,security,parking,balcony,indoor pool,recreation,sauna,storage - locker,guest suites,outdoor pool,bbqs allowed,bike storage,carpet free,in suite laundry,media room,tennis court,car wash,squash/racquet court
3787,565000.0,"901 - 150 Fairview Mall Dr , North York - Don Valley Village",C10404819,549.5,Don Valley Village,1,1,Condo Apt,Central Air,Forced Air,43.7801772,-79.34438759999999,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3788,1088000.0,"2905 - 65 Skymark Dr , North York - Hillcrest Village",C9769577,2124.5,Hillcrest Village,2,3,Condo Apt,Central Air,Forced Air,43.7955189,-79.3526669,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3790,1150000.0,"15 Beechborough Ave , Toronto - Beechborough-Greenbrook",W9229925,1616.0488904,Beechborough-Greenbrook,2,2,Detached,Wall Unit,Radiant,43.695141,-79.4704218,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3791,999000.0,"2612 - 230 Queens Quay W , Toronto - Waterfront Communities C1",C9769232,949.5,Waterfront Communities C1,2,2,Condo Apt,Central Air,Heat Pump,43.6397112,-79.3840554,,,0,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0
3792,1995000.0,"195 Brookdale Ave , Toronto - Lawrence Park North",C10423309,1564.44352463,Lawrence Park North,3,4,Detached,Other,Water,43.7284878,-79.40961899999999,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3793,799000.0,"2006 - 88 Blue Jays Way , Toronto - Waterfront Communities C1",C9390219,649.5,Waterfront Communities C1,1,1,Condo Apt,Central Air,Forced Air,43.6455046,-79.3924571,,,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3794,2195000.0,"282 St Clements Ave , Toronto - Yonge-Eglinton",C10422342,1245.13027835,Yonge-Eglinton,3,4,Detached,Central Air,Water,43.7111115,-79.408563,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3795,450000.0,"513 - 170 Sudbury St , Toronto - Little Portugal",C9514190,549.5,Little Portugal,1,1,Condo Apt,Central Air,Heat Pump,43.6415584,-79.4246403,,,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
3796,768000.0,"504 - 1603 Eglinton Ave W , Toronto - Oakwood Village",C10410423,849.5,Oakwood Village,2,2,Condo Apt,Central Air,Forced Air,43.69691599999999,-79.44310639999999,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3797,580000.0,"3002 - 25 Richmond St E , Toronto - Church-Yonge Corridor",C9301627,549.5,Church-Yonge Corridor,1,1,Condo Apt,Central Air,Forced Air,43.6519017,-79.37721650000002,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3798,775000.0,"20 - 115 Long Branch Ave , Etobicoke - Long Branch",W9376331,949.5,Long Branch,2,3,Condo Townhouse,Central Air,Forced Air,43.5959645,-79.5341066,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3799,999800.0,"3711 - 20 Lombard St , Toronto - Church-Yonge Corridor",C9410100,749.5,Church-Yonge Corridor,2,2,Condo Apt,Central Air,Heat Pump,43.6516524,-79.3769603,,,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3803,619000.0,"2206 - 20 Tubman Ave , Toronto - Regent Park",C9418760,649.5,Regent Park,1,1,Condo Apt,Central Air,Forced Air,43.6606855,-79.3594066,,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
3804,399000.0,"811 - 1461 Lawrence Avenue , Toronto - Brookhaven-Amesbury",40628857,475.0,Brookhaven-Amesbury,1,1,Condo/Apt Unit,Central Air,,43.7074982,-79.4797966,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3805,1179000.0,"310 - 21 Nassau St , Toronto - Kensington-Chinatown",C9769293,1099.5,Kensington-Chinatown,1,1,Condo Apt,Central Air,Forced Air,43.6555469,-79.4000501,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3806,569900.0,"401 - 3 Hickory Tree Rd , Toronto - Weston",W9513518,1099.5,Weston,2,2,Condo Apt,Central Air,Forced Air,43.6980909,-79.51416239999999,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3807,725000.0,"4512 - 11 Brunel Crt , Toronto - Waterfront Communities C1",C9353927,649.5,Waterfront Communities C1,1,1,Condo Apt,Central Air,Forced Air,43.6394086,-79.3932334,,,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
3809,1600000.0,"590 Horner Ave , Etobicoke - Alderwood",W9365209,1304.20901989,Alderwood,3,2,Detached,Wall Unit,Radiant,43.6002438,-79.5525737,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3810,578800.0,"1406 - 6 Sonic Way , Toronto - Flemingdon Park",C9387415,649.5,Flemingdon Park,1,2,Condo Apt,Central Air,Forced Air,43.7194953,-79.3365032,,,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3812,589000.0,"506 - 77 LOMBARD St , Toronto - Church-Yonge Corridor",C9413664,849.5,Church-Yonge Corridor,1,2,Condo Townhouse,Central Air,Forced Air,43.651914,-79.3739662,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3813,649900.0,"511 - 270 Wellington St W , Toronto - Waterfront Communities C1",C9396388,749.5,Waterfront Communities C1,1,2,Condo Apt,Central Air,Forced Air,43.6450977,-79.39083509999999,,,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3814,819000.0,"22 Botany Hill Rd , Scarborough - Morningside",E10411819,781.72931389,Morningside,3,2,Detached,Central Air,Forced Air,43.7726706,-79.20731409999999,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3816,1299900.0,"24 Chilton Rd , Toronto - East York",E9755914,1290.44199179,East York,4,1,Detached,,Water,43.6945825,-79.3477173,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3817,479000.0,"3512 - 125 Village Green Sq S , Scarborough - Agincourt South-Malvern West",E9383002,549.5,Agincourt South-Malvern West,1,1,Condo Apt,Central Air,Forced Air,43.7775005,-79.28132529999999,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3818,529999.0,"2209 - 426 University Ave , Toronto - Kensington-Chinatown",C9514343,549.5,Kensington-Chinatown,1,1,Condo Apt,Central Air,Forced Air,43.653957,-79.3886581,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3820,560000.0,"617 - 28 Empress Ave , North York - Willowdale East",C9396426,649.5,Willowdale East,1,1,Condo Apt,Central Air,Forced Air,43.7699058,-79.4117492,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3822,4098800.0,"130 Munro Blvd , North York - St. Andrew-Windfields",C9365147,4250.0,St. Andrew-Windfields,5,6,Detached,Central Air,Forced Air,43.7480732,-79.38966049999999,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3824,669000.0,"3104 - 125 Village Green Sq , Scarborough - Agincourt South-Malvern West",E9361525,849.5,Agincourt South-Malvern West,2,2,Condo Apt,Central Air,Forced Air,43.7775005,-79.28132529999999,,,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
3826,399000.0,"811 - 1461 Lawrence Ave W , North York - Brookhaven-Amesbury",W9237327,249.5,Brookhaven-Amesbury,1,1,Condo Apt,Central Air,Forced Air,43.7074982,-79.4797966,,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
