address,mls
708-21 Overlea Boulevard,MLS® C10442661
1213-50 Power Street,MLS® C10442637
802-8 Dovercourt Road,MLS® C10442622
4305-16 Harbour Street,MLS® C10442621
502-1169 Queen Street W,MLS® C10442534
1001-25 Grenville Street,MLS® C10442531
203 Mckee Avenue,MLS® C10442522
31 Bulbourne Road,MLS® W10442518
57-68 Winston Park Boulevard,MLS® W10442006
2333-165 Legion Road,MLS® W10442000
211-5444 Yonge Street,MLS® C10442496
812-60 Tannery Road,MLS® C10442016
5-745 Steeles Avenue W,MLS® C10441978
3608-101 Peter Street S,MLS® C10441974
115-360 Ridelle Avenue,MLS® W10441935
46-341 Military Trail,MLS® E10441929
7702-55 Cooper Street,MLS® C10441880
2 Delbasso Court,MLS® W10441868
53 Armstrong Avenue,MLS® W10441856
22-189 La Rose Avenue,MLS® W10441876
86 Village Greenway,MLS® C10441862
909-1 Rean Drive,MLS® C10441857
186 Macpherson Avenue,MLS® C10441847
24 Dunboyne Court,MLS® C11196281
183 Atlas Avenue,MLS® C10441838
40 Munro Boulevard,MLS® C10441822
610-50 Brian Harrison Way,MLS® E10441824
516-50 George Butchart Drive,MLS® W10441782
708-3018 Yonge Street,MLS® C10441783
616-120 Harrison Garden Boulevard,MLS® C10441780
96 King High Avenue,MLS® C10441760
277 Indian Road,MLS® W10441746
1612-121 Ling Road,MLS® E10441745
220-2020 Bathurst Street,MLS® C10441631
42 Waverley Road,MLS® E10441630
16 Lockerbie Avenue,MLS® W10441611
26 Saybrook Avenue,MLS® W10441609
4202-2230 Lake Shore Boulevard W,MLS® W10441623
3038 Islington Avenue,MLS® W10441582
5 Independence Drive,MLS® E10441568
808-15 London Green Court,MLS® W10441563
1105-260 Sackville Street,MLS® C10441565
902-1901 Yonge Street,MLS® C10441560
307-125 Redpath Avenue,MLS® C10441556
208-710 Humberwood Boulevard,MLS® W10441523
3803-10 York Street,MLS® C10441541
417-1603 Eglinton Avenue W,MLS® C10441529
812-205 Hilda Avenue,MLS® C10441527
213 Heward Avenue,MLS® E10441514
524-5233 Dundas Street W,MLS® W10441477
103 Holcolm Road,MLS® C10441469
LPH5-10 Meadowglen Place,MLS® E10441467
106-10 Meadowglen Place,MLS® E10441466
301-10 Meadowglen Place,MLS® E10441464
103-10 Meadowglen Place,MLS® E10441462
206-10 Meadowglen Place,MLS® E10441461
1907-224 King Street West Street W,MLS® C10441459
410-39 Queens Quay E,MLS® C10441441
407-60 Annie Craig Drive,MLS® W10441391
1706-72 Esther Shiner Boulevard,MLS® C10441388
202-1085 Danforth Road,MLS® E10441385
612-365 Church Street,MLS® C10441377
712-10 Gibbs Road,MLS® W10441376
99 Sadlee Cove Crescent,MLS® E10441362
5109-2221 Yonge Street,MLS® C10441359
1010-20 Edgecliffe Gfwy,MLS® C10441357
27 Manorwood Road,MLS® E10441356
414-5800 Sheppard Avenue E,MLS® E10441346
2306-2 Anndale Drive,MLS® C10441350
605-260 Heath Street W,MLS® C10441349
58 Broadpath Road,MLS® C10441343
15 Rosewood Avenue,MLS® W10441331
1201-211 St Patrick Street,MLS® C10441337
1103-188 Cumberland Street,MLS® C10441335
3213-386 Yonge Street,MLS® C10441324
76 Thirty Fifth Street,MLS® W10441294
12 Dobbin Road,MLS® E10441287
412 Valermo Drive,MLS® W10441259
515-60 Town Centre Court,MLS® E10441252
220-30 Inn On The Park Drive,MLS® C10441244
121-35 Wabash Avenue,MLS® W10441237
810-320 Dixon Road,MLS® W10441216
308-1055 Bay Street,MLS® C10441214
103-96 St Patrick Street,MLS® C10441213
50 Bain Avenue,MLS® E10441208
69 Laing Street,MLS® E10439444
505-1555 Finch Avenue E,MLS® C10441184
3008-161 Roehampton Avenue,MLS® C10441183
910-75 East Liberty Street,MLS® 40679802
3 Paragon Road,MLS® W10441161
35-120 Ling Road,MLS® E10441167
304-68 Yorkville Avenue,MLS® C10441159
265 Hastings Avenue,MLS® E10441028
47 Claver Avenue,MLS® W10440961
327 Concord Avenue,MLS® W10440998
739 Vaughan Road,MLS® C10440982
E-346 Jarvis Street,MLS® C10440981
2 Norcross Road,MLS® C10440955
828-1100 Sheppard Avenue,MLS® W10441141
406-701 Sheppard Avenue W,MLS® C10441146
3210-12 York Street,MLS® C10441145
3303-8 Park Road N,MLS® C10441143
2603-78 Harrison Garden Boulevard,MLS® C10441140
1802-17 Barberry Place,MLS® C10441136
19 Martini Drive,MLS® W10440915
60A Sentinel Road,MLS® W10441033
14 Gray Avenue,MLS® W10441029
15 Stock Avenue,MLS® W10440802
28 Navenby Crescent,MLS® W10441123
322 East Avenue,MLS® E10440712
1803-20 Brin Drive N,MLS® W10441109
413-783 Bathurst Street S,MLS® C10441108
59 Montressor Drive,MLS® C10440953
84 Blantyre Avenue,MLS® E10440897
1808-5 Soudan Avenue,MLS® C10441089
406-5 St Joseph Street,MLS® C10441086
50 Dorset Road,MLS® E10440766
77-100 Burrows Hall Boulevard,MLS® E10441067
312-70 Queens Wharf Road,MLS® C10441080
306-1060 Sheppard Avenue W,MLS® W10441023
103-5155 Sheppard Avenue E,MLS® E10441039
602-1316 Kingston Road,MLS® E10441027
523-270 Wellington Street W,MLS® C10441026
75 Stormont Avenue,MLS® C10440835
90 Stephen Drive,MLS® W10440785
131 Brickworks Lane,MLS® 40679942
713-10 Martha Eaton Way,MLS® W10441020
85 Oakridge Drive,MLS® E10440850
601-1316 Kingston Road,MLS® E10441003
1501-110 Charles Street E,MLS® C10440990
201-42 Camden Street,MLS® C10440983
LPH 6-1 Avondale Avenue,MLS® C10440933
431 Meadowvale Road,MLS® E10440666
4001-2212 Lake Shore Boulevard W,MLS® W10440881
